Index	|	Opcode	|	Op1	|	Op2	|	Op3
--------|---------------|---------------|---------------|-----------
1	|	6	|	2	|	0	|	0
2	|	5	|	4	|	0	|	3
3	|	5	|	6	|	0	|	5
4	|	5	|	4	|	0	|	7
5	|	3	|	7	|	5	|	8
6	|	11	|	8	|	0	|	9
7	|	2	|	3	|	7	|	11
8	|	5	|	11	|	0	|	3
9	|	4	|	7	|	4	|	12
10	|	5	|	12	|	0	|	7
11	|	9	|	0	|	0	|	10
12	|	6	|	13	|	0	|	0
13	|	6	|	3	|	0	|	0
14	|	6	|	14	|	0	|	0
15	|	3	|	7	|	4	|	12
16	|	14	|	12	|	0	|	15
17	|	6	|	7	|	0	|	0
18	|	3	|	7	|	17	|	18
19	|	3	|	18	|	17	|	18
20	|	14	|	18	|	0	|	19
21	|	6	|	20	|	0	|	0
22	|	9	|	0	|	0	|	21
23	|	6	|	22	|	0	|	0
24	|	3	|	7	|	4	|	23
25	|	5	|	23	|	0	|	7
26	|	9	|	0	|	0	|	16
27	|	6	|	14	|	0	|	0
28	|	6	|	24	|	0	|	0
